Data ,Data Source,Paper DOI,Organ
Adipose_Azimuth,Azimuth,10.1038/s42255-019-0152-6,Adipose
Adipose_Azimuth,Azimuth,10.1038/s42255-019-0152-6,Adipose
Adrenal_Gland_CxG_Portal,CxG,10.1016/j.reprotox.2018.07.014,Adrenal Gland
Anterior_Part_Of_Tongue_CxG_Portal,CxG,10.1002/ajmg.a.61700,Anterior part of tongue
Blood_CxG_Portal,CxG,10.1016/j.copbio.2021.10.025,Blood
Blood_CxG_Portal,CxG,10.1016/j.cell.2021.02.018,Blood
Blood_CxG_Portal,CxG,10.1101/2020.10.29.360479,Blood
Blood_CxG_Portal,CxG,10.1038/s41467-019-12464-3,Blood
Blood_CxG_Portal,CxG,10.1126/sciimmunol.abd1554,Blood
Blood_CxG_Portal,CxG,10.1038/s41592-020-0825-9,Blood
Blood_CxG_Portal,CxG,10.1038/s41591-020-01159-8,Blood
Blood_CxG_Portal,CxG,10.1002/9783527678679.dg11555,Blood
Blood_CxG_Portal,CxG,10.17504/protocols.io.kdycs7w,Blood
Blood_CxG_Portal,CxG,10.47191/ijcsrr/v3-i10-03,Blood
Blood_CxG_Portal,CxG,10.1016/j.cell.2021.02.018,Blood
Blood_CxG_Portal,CxG,10.3390/biomedicines9121794,Blood
Blood_CxG_Portal,CxG,10.1055/a-1229-5048,Blood
Blood_CxG_Portal,CxG,10.1101/2021.05.10.443350,Blood
Blood_CxG_Portal,CxG,10.1038/s41423-021-00825-2,Blood
Blood_CxG_Portal,CxG,10.1177/102425890601200321,Blood
Blood_CxG_Portal,CxG,10.1126/science.abf3041,Blood
Blood_CxG_Portal,CxG,10.1038/s41591-020-01159-8,Blood
Blood_CxG_Portal,CxG,10.1002/ajmg.a.61700,Blood
Blood_CxG_Portal,CxG,10.1038/s41591-021-01329-2,Blood
Blood_Vasculature_CxG_Portal,CxG,10.1038/s41467-019-12464-3,Blood Vasculature
Blood_Vasculature_CxG_Portal,CxG,10.1179/jpt.1997.7.1.011,Blood Vasculature
Blood_Vasculature_CxG_Portal,CxG,10.1002/ajmg.a.61700,Blood Vasculature
Bone_Marrow_Azimuth,Azimuth,10.1172/jci.insight.124928,Bone Marrow
Bone_Marrow_Azimuth,Azimuth,10.1038/s41587-019-0332-7,Bone Marrow
Bone_Marrow_Azimuth,Azimuth,,Bone Marrow
