Data ,Data Source,Paper DOI,Organ
Bone_Marrow_Azimuth,Azimuth,10.1016/j.cell.2021.04.048,Bone Marrow
Bone_Marrow_Azimuth,Azimuth,10.1172/jci.insight.124928,Bone Marrow
Bone_Marrow_Azimuth,Azimuth,10.1038/s41587-019-0332-7,Bone Marrow
Bone_Marrow_Azimuth,Azimuth,,Bone Marrow
Bone_Marrow_Azimuth,Azimuth,10.1016/j.cell.2021.04.048,Bone Marrow
Bone_Marrow_CxG_Portal,CxG,10.1038/s41467-019-12464-3,Bone Marrow
Bone_Marrow_CxG_Portal,CxG,10.1177/102425890601200321,Bone Marrow
Bone_Marrow_CxG_Portal,CxG,10.1002/ajmg.a.61700,Bone Marrow
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1016/j.reprotox.2018.07.014,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1364/hisense.2009.htuc3,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1201/9780203507483,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1101/2020.05.11.088591,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1002/0471684228.egp00471,Brain
Brain_CxG_Portal,CxG,10.1101/2020.05.11.088591,Brain
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Brain_Motor_Cortex_NeMO_Data_Portal,NeMO,,Brain Motor Cortex
Breast_GTEx_Portal,GTEx,,Breast
Breast_GTEx_Portal,GTEx,,Breast
Breast_GTEx_Portal,GTEx,,Breast
Bronchopulmonary_Lymph_Node_CxG_Portal,CxG,10.1038/s41467-019-12464-3,Bronchopulmonary Lymph
Cervical_Lymph_Node_CxG_Portal,CxG,10.3389/fcvm.2020.00052,Cervical Lymph
Colon_Gut_Cell_Atlas,Cell Atlas,,Colon Gut
Colon_Gut_Cell_Atlas,Cell Atlas,,Colon Gut
Colon_Gut_Cell_Atlas,Cell Atlas,,Colon Gut
Colon_Gut_Cell_Atlas,Cell Atlas,,Colon Gut
Colon_Gut_Cell_Atlas,Cell Atlas,,Colon Gut
Endothelial_Cell_(Cell_Culture)_CxG_Portal,CxG,10.1101/2020.10.05.314039,Endothelial Cell
Epithelial_Cell_Of_Lung_(Cell_Culture)_CxG_Portal,CxG,10.1101/2020.05.05.079194,Epithelial Cell of Lung
Epithelial_Cell_Of_Lung_(Cell_Culture)_CxG_Portal,CxG,10.1101/2020.05.05.079194,Epithelial Cell of Lung
Epithelium_Of_Esophagus_CxG_Portal,CxG,10.1097/00000478-200111000-00020,Epithelium of Esophagus
Esophagus_Mucosa_GTEx_Portal,GTEx,,Esophagus Mucosa
Esophagus_Mucosa_GTEx_Portal,GTEx,,Esophagus Mucosa
Esophagus_Mucosa_GTEx_Portal,GTEx,,Esophagus Mucosa
Esophagus_Muscularis_GTEx_Portal,GTEx,,Esophagus Muscularis
Esophagus_Muscularis_GTEx_Portal,GTEx,,Esophagus Muscularis
Esophagus_Muscularis_GTEx_Portal,GTEx,,Esophagus Muscularis
Eye_CxG_Portal,CxG,10.3389/fneur.2021.636330,Eye
Eye_CxG_Portal,CxG,10.1016/j.reprotox.2018.07.014,Eye
Eye_CxG_Portal,CxG,10.1109/camp.1993.622469,Eye
Eye_CxG_Portal,CxG,10.1002/ajmg.a.61700,Eye
Eye_CxG_Portal,CxG,10.1126/science.2449732,Eye
Fallopian_Tube_CxG_Portal,CxG,10.1016/j.devcel.2022.02.017,Fallopian Tube
Fallopian_Tube_CxG_Portal,CxG,10.1016/j.devcel.2022.02.017,Fallopian Tube
Fallopian_Tube_CxG_Portal,CxG,10.1016/j.devcel.2022.02.017,Fallopian Tube
Fallopian_Tube_CxG_Portal,CxG,10.1016/j.devcel.2022.02.017,Fallopian Tube
Heart_Azimuth,Azimuth,10.1126/sciadv.abf1444,Heart
Heart_Azimuth,Azimuth,10.1038/s44161-022-00028-6,Heart
Heart_Azimuth,Azimuth,10.1038/s41586-020-2797-4,Heart
Heart_Azimuth,Azimuth,10.1126/sciadv.abf1444,Heart
Heart_Azimuth,Azimuth,10.1038/s44161-022-00028-6,Heart
Heart_Azimuth,Azimuth,10.1038/s41586-020-2797-4,Heart
Heart_CxG_Portal,CxG,10.1038/s41586-020-2797-4,Heart
Heart_CxG_Portal,CxG,10.1016/j.reprotox.2018.07.014,Heart
Heart_CxG_Portal,CxG,10.1002/ajmg.a.61700,Heart
Heart_GTEx_Portal,GTEx,,Heart
Heart_GTEx_Portal,GTEx,,Heart
Heart_GTEx_Portal,GTEx,,Heart
Inguinal_Lymph_Node_CxG_Portal,CxG,10.1002/ajmg.a.61700,Inguinal Lymph
Intestine_CxG_Portal,CxG,10.1016/j.cell.2020.12.016,Intestine
Intestine_CxG_Portal,CxG,10.1016/j.cell.2020.12.016,Intestine
Intestine_CxG_Portal,CxG,10.1016/j.reprotox.2018.07.014,Intestine
Intestine_CxG_Portal,CxG,10.1016/j.cell.2020.12.016,Intestine
Intestine_CxG_Portal,CxG,10.1016/j.cell.2020.12.016,Intestine
Intestine_CxG_Portal,CxG,10.1016/j.cell.2020.12.016,Intestine
Intestine_CxG_Portal,CxG,10.1016/j.cell.2020.12.016,Intestine
Intestine_CxG_Portal,CxG,10.1016/j.cell.2020.12.016,Intestine
Kidney_Azimuth,Azimuth,,Kidney
Kidney_Azimuth,Azimuth,10.1126/science.aat5031,Kidney
Kidney_Azimuth,Azimuth,,Kidney
Kidney_Azimuth,Azimuth,10.1126/science.aat5031,Kidney
Kidney_Azimuth,Azimuth,,Kidney
Kidney_Azimuth,Azimuth,10.1126/science.aat5031,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake,Blue Lake,,Kidney
Kidney_Blue_Lake_Richard,Blue Lake,,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1016/j.reprotox.2018.07.014,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/ju.0000000000002516.11,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/ju.0000000000002516.11,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1179/jpt.1997.7.1.011,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1002/ajmg.a.61700,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1093/med/9780198713333.003.0007,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/ju.0000000000002516.11,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_CxG_Portal,CxG,10.1097/mnh.0000000000000781,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Kidney_HuBMAP_Portal,HuBMAP,,Kidney
Large_Intestine_CxG_Portal,CxG,10.1016/j.cell.2020.12.016,Large Intestine
Large_Intestine_CxG_Portal,CxG,10.1177/102425890601200321,Large Intestine
Large_Intestine_CxG_Portal,CxG,10.1016/j.cell.2020.12.016,Large Intestine
Large_Intestine_CxG_Portal,CxG,10.1002/ajmg.a.61700,Large Intestine
Liver_CxG_Portal,CxG,10.1016/j.reprotox.2018.07.014,Liver
Liver_CxG_Portal,CxG,10.1177/102425890601200321,Liver
Liver_CxG_Portal,CxG,10.1002/ajmg.a.61700,Liver
Lung_Azimuth,Azimuth,10.1038/s41586-020-2922-4,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201806-1037ED,Lung
Lung_Azimuth,Azimuth,10.1038/s41467-020-16239-z,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.1161/CIRCULATIONAHA.120.052318,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC%C2%A0,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1186/s13059-019-1906-x,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1101/2021.07.19.452956,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1983,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.15252/embj.20105114,Lung
Lung_Azimuth,Azimuth,10.15252/emmm.202012871,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201712-2410OC,Lung
Lung_Azimuth,Azimuth,10.1038/s41586-020-2922-4,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201806-1037ED,Lung
Lung_Azimuth,Azimuth,10.1038/s41467-020-16239-z,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.1161/CIRCULATIONAHA.120.052318,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC%C2%A0,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1186/s13059-019-1906-x,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1101/2021.07.19.452956,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1983,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.15252/embj.20105114,Lung
Lung_Azimuth,Azimuth,10.15252/emmm.202012871,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201712-2410OC,Lung
Lung_Azimuth,Azimuth,10.1038/s41586-020-2922-4,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201806-1037ED,Lung
Lung_Azimuth,Azimuth,10.1038/s41467-020-16239-z,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.1161/CIRCULATIONAHA.120.052318,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC%C2%A0,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1186/s13059-019-1906-x,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1101/2021.07.19.452956,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1983,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.15252/embj.20105114,Lung
Lung_Azimuth,Azimuth,10.15252/emmm.202012871,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201712-2410OC,Lung
Lung_Azimuth,Azimuth,10.1038/s41586-020-2922-4,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201806-1037ED,Lung
Lung_Azimuth,Azimuth,10.1038/s41467-020-16239-z,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.1161/CIRCULATIONAHA.120.052318,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC%C2%A0,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1186/s13059-019-1906-x,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1101/2021.07.19.452956,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1983,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.15252/embj.20105114,Lung
Lung_Azimuth,Azimuth,10.15252/emmm.202012871,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201712-2410OC,Lung
Lung_Azimuth,Azimuth,10.1038/s41586-020-2922-4,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201806-1037ED,Lung
Lung_Azimuth,Azimuth,10.1038/s41467-020-16239-z,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.1161/CIRCULATIONAHA.120.052318,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC%C2%A0,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1186/s13059-019-1906-x,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1101/2021.07.19.452956,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1983,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.15252/embj.20105114,Lung
Lung_Azimuth,Azimuth,10.15252/emmm.202012871,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201712-2410OC,Lung
Lung_Azimuth,Azimuth,10.1038/s41586-020-2922-4,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201806-1037ED,Lung
Lung_Azimuth,Azimuth,10.1038/s41467-020-16239-z,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
Lung_Azimuth,Azimuth,10.1161/CIRCULATIONAHA.120.052318,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC%C2%A0,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1183/13993003.02441-2018,Lung
Lung_Azimuth,Azimuth,10.1186/s13059-019-1906-x,Lung
Lung_Azimuth,Azimuth,10.1038/s41591-019-0468-5,Lung
Lung_Azimuth,Azimuth,10.1101/2021.07.19.452956,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1983,Lung
Lung_Azimuth,Azimuth,10.1164/rccm.201911-2199OC,Lung
Lung_Azimuth,Azimuth,10.1126/sciadv.aba1972,Lung
